species_RE,species,species_original,phylum,class,order,family,andrews,henry
Balanophyllia_elegans,Balanophyllia_elegans,Balanophyllia_elegans,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,1,0
Hylocelis_californica,Hylocelis_californica,Planocera_californica,Platyhelminthes,Turbellaria,Polycladida,Cryptocelidae,1,0
Polycladida,Polycladida,Polycladida,Platyhelminthes,Turbellaria,Polycladida,Unidentified,0,1
Nipponnemertes_bimaculata,Nipponnemertes_bimaculata,Amphiporus_bimaculatus,Nemertea,Hoplonemertea,Monostlifera,Cratenemertidae,1,0
Lineus_rubescens,Lineus_rubescens,Lineus_rubescens,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,0
Lineus_pictifrons,Lineus_pictifrons,Lineus_pictifrons,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,0
Emplectonema_gracile,Emplectonema_gracile,Emplectonema_gracile,Nemertea,Hoplonemertea,Heteronemertea,Emplectonematidae,1,0
Micrura_verrilli,Micrura_verrilli,Micrura_verrilli,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,1
Paranemertes_peregrina,Paranemertes_peregrina,Paranemertes_peregrina,Nemertea,Hoplonemertea,Heteronemertea,Neesiidae,1,0
Paranemertes_californica,Paranemertes_californica,Paranemertes_californica,Nemertea,Hoplonemertea,Heteronemertea,Neesiidae,0,1
Ototyphlonemertes,Ototyphlonemertes,Ototyphlonemertes,Nemertea,Hoplonemertea,Heteronemertea,Ototyphlonemertidae,0,1
Carinoma_mutabilis,Carinoma_mutabilis,Carinoma_mutabilis,Nemertea,Palaeonemertea,Carinomiformes,Carinomidae,0,1
Eumonostilifera,Eumonostilifera,Eumonostilifera,Nemertea,Hoplonemertea,Heteronemertea,Unidentified,0,1
Hediste_limnicola,Hediste_limnicola,Nereis_limnicola,Annelida,Polychaeta,Phyllodocida,Nereididae,1,0
Nereis_vexillossa,Nereis_vexillossa,Nereis_vexillossa,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Platynereis_bicanaliculata,Platynereis_bicanaliculata,Nereis_agassizi,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Nereis_unidentified,Nereis_unidentified,Nereis_unidentified,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Halosydna_brevisetosa,Halosydna_brevisetosa,Halosydna_brevisetosa,Annelida,Polychaeta,Phyllodocida,Polynoidae,1,0
Glycera_nana,Glycera_nana,Glycera_nassa,Annelida,Polychaeta,Phyllodocida,Glyceridae,1,0
Scoletoma_zonata,Scoletoma_zonata,Lumbriconereis_zonata,Annelida,Polychaeta,Eunicida,Lumbrineridae,1,0
Terebellidae,Terebellidae,Terebellidae,Annelida,Polychaeta,Terebellida,Terebellidae,1,0
Phascolosoma_stephensoni,Phascolosoma_stephensoni,Physcosoma_agassizi,Annelida,Polychaeta,Sipuncula,Phascolosomatidae,1,1
Sabellaria_cementarium,Sabellaria_cementarium,Sabellaria_cementarium,Annelida,Polychaeta,Sabellida,Sabellariidae,0,1
Pherusa_inflata,Pherusa_inflata,Pherusa_inflata,Annelida,Polychaeta,Terebellida,Flabelligeridae,0,1
Oenonidae,Oenonidae,Oenonidae,Annelida,Polychaeta,Eunicida,Oenonidae,0,1
Polycirrus_spp,Polycirrus_spp,Polycirrus_spp,Annelida,Polychaeta,Terebellida,Terebellidae,0,1
Hesperone_complanata,Hesperone_complanata,Hesperone_complanata,Annelida,Polychaeta,Phyllodocida,Polynoidae,0,1
Harmothoe_hirsuta,Harmothoe_hirsuta,Harmothoe_hirsuta,Annelida,Polychaeta,Phyllodocida,Polynoidae,0,1
Pherusa_papillata,Pherusa_papillata,Pherusa_papillata,Annelida,Polychaeta,Terebellida,Flabelligeridae,0,1
Phyllodoce_medipapillata,Phyllodoce_medipapillata,Phyllodoce_medipapillata,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,0,1
Phyllodoce_hartmanae,Phyllodoce_hartmanae,Phyllodoce_hartmanae,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,0,1
Sigambra_tentaculata,Sigambra_tentaculata,Sigambra_tentaculata,Annelida,Polychaeta,Phyllodocida,Pilargidae,0,1
Gammaridae_unidentified,Gammaridae_unidentified,Gammaridae_unidentified,Arthropoda,Malacostraca,Amphipoda,Gammaridae,1,0
Megalorchestia_californiana,Megalorchestia_californiana,Orchestoidea_californica,Arthropoda,Malacostraca,Amphipoda,Talitridae,1,0
Traskorchestia_traskiana,Traskorchestia_traskiana,Traskorchestia_traskiana,Arthropoda,Malacostraca,Amphipoda,Talitridae,1,0
Sunamphitoe_humeralis,Sunamphitoe_humeralis,Ampithoe_humeralis,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,1,0
Caprella_scaura,Caprella_scaura,Caprella_scaura,Arthropoda,Malacostraca,Amphipoda,Caprellidae,1,0
Caprella_equilibra,Caprella_equilibra,Caprella_aequilibra,Arthropoda,Malacostraca,Amphipoda,Caprellidae,1,0
Tanaidacea,Tanaidacea,Tanaioidae,Arthropoda,Malacostraca,Tanaidacea,Unidentified,1,0
Pentidotea_resecata,Pentidotea_resecata,Pentidotea_resecata,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Synidotea_harfordi,Synidotea_harfordi,Synidotea_harfordi,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Idotea_urotoma,Idotea_urotoma,Idothea_rectilinea,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Dynamene_tuberculosa,Dynamene_tuberculosa,Dynamene_tuberculosa,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Dynamene_glabra,Dynamene_glabra,Dynamene_glabra,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Paracerceis_cordata,Paracerceis_cordata,Cilicaea_cordata,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Crangon_franciscorum,Crangon_franciscorum,Crangon_dentipes,Arthropoda,Malacostraca,,Crangonidae,1,0
Heptacarpus_tenuissimus,Heptacarpus_tenuissimus,Spirontocaris_gracilis,Arthropoda,Malacostraca,,Thoridae,1,0
Heptacarpus_palpator,Heptacarpus_palpator,Spirontocaris_palpator,Arthropoda,Malacostraca,,Thoridae,1,0
Pagurus_granosimanus,Pagurus_granosimanus,Pagurus_granosimanus,Arthropoda,Malacostraca,,Paguridae,1,0
Pagurus_samuelis,Pagurus_samuelis,Pagurus_samuelis,Arthropoda,Malacostraca,,Paguridae,1,0
Pelia_tumida,Pelia_tumida,Pelia_tumida,Arthropoda,Malacostraca,,Epialtidae,1,0
Pugettia_richii,Pugettia_richii,Pugettia_richii,Arthropoda,Malacostraca,,Epialtidae,1,0
Pugettia_producta,Pugettia_producta,Pugettia_producta,Arthropoda,Malacostraca,,Epialtidae,1,1
Pugettia_gracilis,Pugettia_gracilis,Pugettia_gracilis,Arthropoda,Malacostraca,,Epialtidae,1,0
Pugettia_foliata,Pugettia_foliata,Mimulus_foliatus,Arthropoda,Malacostraca,,Epialtidae,1,1
Pachycheles_rudis,Pachycheles_rudis,Pachycheles_rudis,Arthropoda,Malacostraca,,Porcellanidae,1,0
Romaleon_jordani,Romaleon_jordani,Cancer_jordani,Arthropoda,Malacostraca,,Cancridae,1,0
Loxorhynchus_grandis,Loxorhynchus_grandis,Loxorhynchus_grandis,Arthropoda,Malacostraca,,Epialtidae,1,0
Glebocarcinus_amphioetus,Glebocarcinus_amphioetus,Cancer_amphioetus,Arthropoda,Malacostraca,,Cancridae,1,0
Lophopanopeus_bellus,Lophopanopeus_bellus,Lophopanopeus_bellus,Arthropoda,Malacostraca,,Panopeidae,1,0
Lophopanopeus_heathii,Lophopanopeus_heathii,Lophopanopeus_heathii,Arthropoda,Malacostraca,,Panopeidae,1,0
Pinnixa_longipes,Pinnixa_longipes,Pinnixa_longipes,Arthropoda,Malacostraca,,Pinnotheridae,1,0
Paraxanthias_taylori,Paraxanthias_taylori,Xanthias_taylori,Arthropoda,Malacostraca,,Xanthidae,1,0
Pachycheles_pubescens,Pachycheles_pubescens,Pachycheles_pubescens,Arthropoda,Malacostraca,,Porcellanidae,0,1
Anoplodactylus_nodosus,Anoplodactylus_nodosus,Anoplodactylus_nodosus,Arthropoda,Malacostraca,,Phoxichilidiidae,0,1
Alpheus_clamator,Alpheus_clamator,Alpheus_clamator,Arthropoda,Malacostraca,,Alpheidae,0,1
Heptacarpus_sitchensis,Heptacarpus_sitchensis,Heptacarpus_sitchensis,Arthropoda,Malacostraca,,Thoridae,0,1
Heptacarpus_taylori,Heptacarpus_taylori,Heptacarpus_taylori,Arthropoda,Malacostraca,,Thoridae,0,1
Caridea,Caridea,Caridea,Arthropoda,Malacostraca,,Unidentified,0,1
Spirontocaris_prionota,Spirontocaris_prionota,Spirontocaris_prionota,Arthropoda,Malacostraca,,Thoridae,0,1
Elasmopus_antennatus,Elasmopus_antennatus,Elasmopus_antennatus,Arthropoda,Malacostraca,,Maeridae,0,1
Peramphithoe_mea,Peramphithoe_mea,Peramphithoe_mea,Arthropoda,Malacostraca,,Amphithoidae,0,1
Gammaropsis,Gammaropsis,Gammaropsis,Arthropoda,Malacostraca,,Photidae,0,1
Protomedeia_prudens,Protomedeia_prudens,Protomedeia_prudens,Arthropoda,Malacostraca,,Corophiidae,0,1
Orchomene_minutus,Orchomene_minutus,Orchomene_minutus,Arthropoda,Malacostraca,,Tryphosidae,0,1
Peramphithoe_stypotrupetes,Peramphithoe_stypotrupetes,Peramphithoe_stypotrupetes,Arthropoda,Malacostraca,,Amphithoidae,0,1
Paramoera_columbiana,Paramoera_columbiana,Paramoera_columbiana,Arthropoda,Malacostraca,,Pontogeneiidae,0,1
Pontogeneia_rostrata,Pontogeneia_rostrata,Pontogeneia_rostrata,Arthropoda,Malacostraca,,Pontogeneiidae,0,1
Protomedeia_articulata,Protomedeia_articulata,Protomedeia_articulata,Arthropoda,Malacostraca,,Corophiidae,0,1
Columbaora_cyclocoxa,Columbaora_cyclocoxa,Columbaora_cyclocoxa,Arthropoda,Malacostraca,,Aoridae,0,1
Ampelisca_hancocki,Ampelisca_hancocki,Ampelisca_hancocki,Arthropoda,Malacostraca,,Ampeliscidae,0,1
Carinonajna_bicarinata_subgroup,Carinonajna_bicarinata_subgroup,Carinonajna_bicarinata_subgroup,Arthropoda,Malacostraca,,Najnidae,0,1
Peramphithoe_lindbergi,Peramphithoe_lindbergi,Peramphithoe_lindbergi,Arthropoda,Malacostraca,,Amphithoidae,0,1
Peramphithoe_plea,Peramphithoe_plea,Peramphithoe_plea,Arthropoda,Malacostraca,,Amphithoidae,0,1
Ampithoe,Ampithoe,Ampithoe,Arthropoda,Malacostraca,,Amphithoidae,0,1
Ingolfiellidea,Ingolfiellidea,Ingolfiellidea,Arthropoda,Malacostraca,,Unidentified,0,1
Tonicella_lineata,Tonicella_lineata,Lepidochitona_lineata,Mollusca,Polyplacophora,,Tonicellidae,1,0
Tripoplax_regularis,Tripoplax_regularis,Ischnochiton_regularis,Mollusca,Polyplacophora,,Ischnochitonidae,1,0
Lepidozona_cooperi,Lepidozona_cooperi,Ischnochiton_cooperi,Mollusca,Polyplacophora,,Ischnochitonidae,1,0
Lepidozona_mertensii,Lepidozona_mertensii,Ischnochiton_martensii,Mollusca,Polyplacophora,,Ischnochitonidae,1,0
Mopalia_ciliata,Mopalia_ciliata,Mopalia_ciliata,Mollusca,Polyplacophora,,Mopaliidae,1,0
Mopalia_muscosa,Mopalia_muscosa,Mopalia_mucosa,Mollusca,Polyplacophora,,Mopaliidae,1,0
Alia_carinata,Alia_carinata,Columbella_carinata,Mollusca,Gastropoda,,Columbellidae,1,0
Mitrella_gausapata,Mitrella_gausapata,Columbella_gausapata,Mollusca,Gastropoda,,Columbellidae,1,0
Calliostoma_ligatum,Calliostoma_ligatum,Calliostoma_costatum,Mollusca,Gastropoda,,Calliostomatidae,1,1
Amphissa_versicolor,Amphissa_versicolor,Amphissa_versicolor,Mollusca,Gastropoda,,Columbellidae,1,0
Amphissa_columbiana,Amphissa_columbiana,Amphissa_columbiana,Mollusca,Gastropoda,,Columbellidae,1,0
Tegula_montereyi,Tegula_montereyi,Tegula_montereyi,Mollusca,Gastropoda,,Tegulidae,1,1
Homalopoma_paucicostatum,Homalopoma_paucicostatum,Leptothyra_paucicostata,Mollusca,Gastropoda,,Colloniidae,1,0
Gigahomalopoma_carpenteri,Gigahomalopoma_carpenteri,Leptothyra_carpenteri,Mollusca,Gastropoda,,Colloniidae,1,0
Lirobittium_quadrifilatum,Lirobittium_quadrifilatum,Bittium_quadrifilatum,Mollusca,Gastropoda,,Cerithiidae,1,0
Paciocinebrina_interfossa,Paciocinebrina_interfossa,Tritonalia_interfossa,Mollusca,Gastropoda,,Muricidae,1,0
Lirularia_lirulata,Lirularia_lirulata,Margarites_lirulata,Mollusca,Gastropoda,,Trochidae,1,0
Lucapinella_callomarginata,Lucapinella_callomarginata,Lucapinella_callomarginata,Mollusca,Gastropoda,,Fissurellidae,1,0
Doriopsilla_fulva,Doriopsilla_fulva,Doriopsis_fulva,Mollusca,Gastropoda,,Dorididae,1,0
Eulithidium_comptum,Eulithidium_comptum,Physianella_compta,Mollusca,Gastropoda,,Phasianellidae,1,0
Lottia_persona,Lottia_persona,Acmaea_persona,Mollusca,Gastropoda,,Lottiidae,1,0
Discurria_insessa,Discurria_insessa,Acmaea_insessa,Mollusca,Gastropoda,,Lottiidae,1,0
Semele_pulchra,Semele_pulchra,Semele_pulchra,Mollusca,Bivalvia,,Semelidae,1,0
Leukoma_staminea,Leukoma_staminea,Paphia_staminea,Mollusca,Bivalvia,,Veneridae,1,0
Cardita_subquadrata,Cardita_subquadrata,Cardita_subquadrata,Mollusca,Bivalvia,,Carditidae,1,0
Mytilimeria_nuttalli,Mytilimeria_nuttalli,Mytilimeria_nuttalli,Mollusca,Bivalvia,,Lyonsiidae,1,0
Irusella_lamellifera,Irusella_lamellifera,Venerupis_lamellifera,Mollusca,Bivalvia,,Veneridae,1,0
Tegula_pulligo,Tegula_pulligo,Tegula_pulligo,Mollusca,Gastropoda,,Tegulidae,0,1
Calliostoma_supragranosum,Calliostoma_supragranosum,Calliostoma_supragranosum,Mollusca,Gastropoda,,Calliostomatidae,0,1
Lirularia_succincta,Lirularia_succincta,Lirularia_succincta,Mollusca,Gastropoda,,Trochidae,0,1
Patiria_miniata,Patiria_miniata,Asterina_miniata,Echinodermata,Asteroidea,,Asterinidae,1,0
Pisaster_ochraceus,Pisaster_ochraceus,Pisaster_ochraceus,Echinodermata,Asteroidea,,Asteriidae,1,0
Leptasterias_pusilla,Leptasterias_pusilla,Leptasterias_pusilla,Echinodermata,Asteroidea,,Asteriidae,1,0
Ophiopholis_aculeata,Ophiopholis_aculeata,Ophiopholis_aculeata,Echinodermata,Ophiuroidea,,Ophiopholidae,1,0
Amphipholis_pugetana,Amphipholis_pugetana,Amphipholis_pugetana,Echinodermata,Ophiuroidea,,Amphiuridae,1,0
Ophiopteris_papillosa,Ophiopteris_papillosa,Ophiopteris_papillosa,Echinodermata,Ophiuroidea,,Ophiopteridae,1,0
Ophiothrix_spiculata,Ophiothrix_spiculata,Ophiothrix_spiculata,Echinodermata,Ophiuroidea,,Ophiotrichidae,1,1
Amphiodia_occidentalis,Amphiodia_occidentalis,Amphiodia_occidentalis,Echinodermata,Ophiuroidea,,Amphiuridae,1,0
Strongylocentrotus_purpuratus,Strongylocentrotus_purpuratus,Strongylocentrotus_purpuratus,Echinodermata,Echinoidea,,Strongylocentrotidae,1,1
Pseudocnus_lubricus,Pseudocnus_lubricus,Cucumaria_lubrica,Echinodermata,Holothuroidea,,Cucumariidae,1,0
Amphipholis_squamata,Amphipholis_squamata,Amphipholis_squamata,Echinodermata,Ophiuroidea,,Amphiuridae,0,1
Eupentacta_quinquesimita,Eupentacta_quinquesimita,Eupentacta_quinquesimita,Echinodermata,Holothuroidea,,Sclerodactylidae,0,1
Cucumaria_piperata,Cucumaria_piperata,Cucumaria_piperata,Echinodermata,Holothuroidea,,Cucumariidae,0,1
Pyura_haustor,Pyura_haustor,Halocynthia_johnsoni,Chordata,Ascidiacea,,Pyuridae,1,0
Xiphister_atropurpureus,Xiphister_atropurpureus,Epigeichthys_atropurpureus,Chordata,Teleostei,,Stichaeidae,1,0
Gobiesox_eugrammus,Gobiesox_eugrammus,Gobiesox_eugrammus,Chordata,Teleostei,,Gobiesocidae,0,1
Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,,Unidentified,1,0