source,year,month,day,site_code,site,Balanophyllia_elegans,Hylocelis_californica,Polycladida,Nipponnemertes_bimaculata,Lineus_rubescens,Lineus_pictifrons,Emplectonema_gracile,Micrura_verrilli,Paranemertes_peregrina,Paranemertes_californica,Ototyphlonemertes,Carinoma_mutabilis,Eumonostilifera,Hediste_limnicola,Nereis_vexillossa,Platynereis_bicanaliculata,Nereis_unidentified,Halosydna_brevisetosa,Glycera_nana,Scoletoma_zonata,Terebellidae,Phascolosoma_stephensoni,Sabellaria_cementarium,Pherusa_inflata,Oenonidae,Polycirrus_spp,Hesperone_complanata,Harmothoe_hirsuta,Pherusa_papillata,Phyllodoce_medipapillata,Phyllodoce_hartmanae,Sigambra_tentaculata,Gammaridae_unidentified,Megalorchestia_californiana,Traskorchestia_traskiana,Sunamphitoe_humeralis,Caprella_scaura,Caprella_equilibra,Tanaioidae,Pentidotea_resecata,Synidotea_harfordi,Idotea_urotoma,Dynamene_tuberculosa,Dynamene_glabra,Paracerceis_cordata,Crangon_franciscorum,Heptacarpus_tenuissimus,Heptacarpus_palpator,Pagurus_granosimanus,Pagurus_samuelis,Pelia_tumida,Pugettia_richii,Pugettia_producta,Pugettia_gracilis,Pugettia_foliata,Pachycheles_rudis,Romaleon_jordani,Loxorhynchus_grandis,Glebocarcinus_amphioetus,Lophopanopeus_bellus,Lophopanopeus_heathii,Pinnixa_longipes,Paraxanthias_taylori,Pachycheles_pubescens,Anoplodactylus_nodosus,Alpheus_clamator,Heptacarpus_sitchensis,Heptacarpus_taylori,Caridea,Spirontocaris_prionata,Elasmopus_antennatus,Peramphithoe_mea,Gammaropsis,Protomedeia_prudens,Orchomene_minutus,Peramphithoe_stypotrupetes,Paramoera_columbiana,Pontogeneia_rostrata,Protomedeia_articulata,Columbaora_cyclocoxa,Ampelisca_hancocki,Carinonajna_bicarinata_subgroup,Peramphithoe_lindbergi,Peramphithoe_plea,Ampithoe,Ingolfiellidea,Tonicella_lineata,Tripoplax_regularis,Lepidozona_cooperi,Lepidozona_mertensii,Mopalia_ciliata,Mopalia_muscosa,Alia_carinata,Mitrella_gausapata,Calliostoma_ligatum,Amphissa_versicolor,Amphissa_columbiana,Tegula_montereyi,Homalopoma_paucicostatum,Gigahomalopoma_carpenteri,Lirobittium_quadrifilatum,Paciocinebrina_interfossa,Lirularia_lirulata,Lucapinella_callomarginata,Doriopsilla_fulva,Eulithidium_comptum,Lottia_persona,Discurria_insessa,Semele_pulchra,Leukoma_staminea,Cardita_subquadrata,Mytilimeria_nuttalli,Irusella_lamellifera,Promartynia_pulligo,Chlorostoma_montereyi,Callistoma_supragranosum,Lirularia_succincta,Patiria_miniata,Pisaster_ochraceus,Leptasterias_pusilla,Ophiopholis_aculeata,Amphipholis_pugetana,Ophiopteris_papillosa,Ophiothrix_spiculata,Amphiodia_occidentalis,Strongylocentrotus_purpuratus,Pseudocnus_lubricus,Amphipholis_squamata,Eupentecta_quinquesimita,Cucumeria_piperata,Pyura_haustor,Xiphister_atropurpureus,Gobiesox_eugrammus,Unidentified
table-1,1934,7,1,A,Cabrillo_Point,0,0,0,7,0,3,0,0,0,0,0,0,0,18,25,0,36,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,6,24,36,15,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,12,28,0,21,14,60,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,6,0,0,0,74,0,39,10,6,33,0,0,0,3,3,0,0
table-1,1934,7,1,B,Stillwater_Cove,0,0,0,6,0,6,5,2,0,0,0,0,0,0,32,22,52,36,6,0,20,9,0,0,0,0,0,0,0,0,0,0,135,5,0,56,0,0,0,0,0,0,0,5,0,3,0,72,0,7,13,12,24,7,21,0,0,0,0,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,27,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,12,16,5,12,0,0,0,2,0,0,0
table-1,1934,7,1,C,Breakwater,3,0,0,10,0,0,0,5,0,0,0,0,0,0,50,30,20,52,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39,90,0,6,0,0,0,0,3,54,0,0,0,0,0,20,3,60,66,27,65,65,6,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0
table-1,1934,7,1,D,Lovers_Point,16,0,0,0,0,0,0,0,0,0,0,0,0,52,0,15,40,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,252,0,0,5,0,0,0,0,0,0,0,8,0,6,0,0,12,21,42,52,0,0,24,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,78,0,0,0,91,0,0,0,6,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,15,351,0,9,0,36,3,0,0,0,0,3,0,0
table-1,1934,7,1,E,Pescadero_Point,3,5,0,18,0,0,0,0,0,0,0,0,0,29,34,74,33,104,0,24,6,20,0,0,0,0,0,0,0,0,0,0,150,0,6,38,9,0,7,3,0,3,0,32,0,0,0,38,3,0,7,6,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,9,18,0,0,0,60,0,0,15,0,3,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,3,24,0,5,53,57,12,0,0,0,0,0,0,0
table-1,1934,7,1,F,Point_Pinos,8,10,0,3,0,0,0,6,6,0,0,0,0,0,37,0,0,28,0,7,3,0,0,0,0,0,0,0,0,0,0,0,122,84,180,0,0,0,3,0,0,2,6,2,0,0,2,12,12,1,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,18,12,0,3,0,0,0,3,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,14,9,42,0,0,16,0,0,0,0,0,0,0,0,0
table-2,1934,12,26,A,Cabrillo_Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-2,1934,12,26,B,Stillwater_Cove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-2,1934,12,26,C,Breakwater,0,0,0,0,0,0,0,0,0,0,0,0,0,167,62,40,22,38,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,35,16,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,67,48,8,0,11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,5,0,0
table-2,1934,12,26,D,Lovers_Point,0,14,0,11,0,0,0,0,0,0,0,0,0,81,54,54,0,22,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,49,0,22,0,0,0,16,0,0,0,0,0,3,0,14,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,48,0,0,0,3,0,0,8,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,9,9,0,24,0,54,100,0,0,0,0,0,3,0,0
table-2,1934,12,26,E,Pescadero_Point,0,11,0,11,0,8,0,0,0,0,0,0,0,110,51,8,0,40,0,0,8,16,0,0,0,0,0,0,0,0,0,0,35,16,43,141,0,0,11,24,0,0,0,32,0,5,0,0,0,0,0,24,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,14,0,0,5,19,0,32,0,0,0,0,0,0,24,0,0,22,14,0,0,0,0,0,0,0,0,0,0,3,0,9,8,48,0,0,0,142,0,0,0,0,0,3,0,0
table-2,1934,12,26,F,Point_Pinos,0,8,0,14,0,3,0,0,0,0,0,0,0,54,27,11,0,38,0,0,0,11,0,0,0,0,0,0,0,0,0,0,40,32,38,108,0,0,8,22,0,0,0,14,0,11,0,0,0,0,0,16,14,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,5,22,0,0,9,0,6,40,0,0,0,0,0,0,0,0,0,38,22,0,0,0,0,0,0,0,0,0,0,14,0,22,4,24,0,0,0,110,0,0,0,0,0,0,0,0
table-3,1935,2,1,A,Cabrillo_Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-3,1935,2,1,B,Stillwater_Cove,0,0,0,13,0,0,0,0,0,0,0,0,0,54,48,0,27,40,11,24,43,0,0,0,0,0,0,0,0,0,0,0,43,0,57,67,0,0,0,0,19,0,0,0,0,16,0,0,0,0,0,11,3,0,11,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,11,11,0,0,0,0,0,0,0
table-3,1935,2,1,C,Breakwater,0,8,0,13,0,0,0,0,0,0,0,0,0,97,0,0,0,136,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,73,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,65,0,0,83,0,0,0,0,0,22,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,40,24,0,0,0,24,0,0,0,0,0,3,0,8
table-3,1935,2,1,D,Lovers_Point,5,0,0,8,0,8,0,0,0,0,0,0,0,148,5,0,32,51,0,0,0,54,0,0,0,0,0,0,0,0,0,0,22,0,32,27,13,3,13,5,0,0,0,0,0,19,0,0,0,0,0,0,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,43,0,11,8,24,0,0,0,0,0,5,0,0
table-3,1935,2,1,E,Pescadero_Point,5,0,0,5,3,0,0,0,0,0,0,0,0,22,5,0,0,40,0,0,0,11,0,0,0,0,0,0,0,0,0,0,16,22,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,8,0,0,0,0,0,0,0,0
table-3,1935,2,1,F,Point_Pinos,3,0,0,11,11,0,0,0,0,0,0,0,0,38,43,0,8,32,0,0,0,16,0,0,0,0,0,0,0,0,0,0,161,0,65,323,0,0,0,0,0,0,0,8,0,0,5,8,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,32,0,27,0,38,0,0,0,0,0,0,0,0
table-4,1935,5,1,A,Cabrillo_Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-4,1935,5,1,B,Stillwater_Cove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-4,1935,5,1,C,Breakwater,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,43,81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,16,0,57,0,0,43,245,0,54,51,27,78,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,242,0,161,0,3,3,0,5,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0
table-4,1935,5,1,D,Lovers_Point,0,0,0,5,0,5,0,0,0,0,0,0,0,81,48,0,13,70,0,8,0,81,0,0,0,0,0,0,0,0,0,0,377,0,291,81,0,0,0,0,0,0,0,16,0,16,0,8,11,13,0,86,0,3,59,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,0,0,8,16,70,0,0,0,0,0,38,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,3,8,5,32,78,3,81,0,83,3,0,0,0,0,0,0,0
table-4,1935,5,1,E,Pescadero_Point,0,0,0,32,0,0,0,0,0,0,0,0,0,82,40,0,135,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,113,0,161,175,8,5,0,0,0,0,30,24,0,0,0,22,0,0,27,16,0,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,43,0,32,0,0,0,0,0,0,0,0
table-4,1935,5,1,F,Point_Pinos,0,0,0,27,0,0,0,0,0,0,0,0,0,67,43,0,108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,113,172,13,11,0,0,0,0,11,11,0,0,0,13,0,0,16,16,0,24,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,38,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,46,0,62,0,0,0,0,0,0,0,0
table-5,1935,6,1,A,Cabrillo_Point,0,13,0,0,0,0,0,5,0,0,0,0,0,22,0,0,35,57,0,0,8,43,0,0,0,0,0,0,0,0,0,0,83,0,89,0,0,0,0,0,0,13,0,0,0,0,0,67,0,0,8,24,19,19,16,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,19,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0
table-5,1935,6,1,B,Stillwater_Cove,0,16,0,0,0,11,16,0,13,0,0,0,0,54,0,11,0,57,21,19,38,28,0,0,0,0,0,0,0,0,0,0,81,0,256,94,0,0,0,0,0,0,35,22,5,0,0,24,8,5,11,32,0,56,53,0,0,0,0,19,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,16,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,32,27,16,22,0,0,0,5,8,0,0
table-5,1935,6,1,C,Breakwater,0,27,0,11,0,0,0,3,0,0,0,0,0,32,0,0,0,183,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,51,0,30,0,5,57,0,0,92,38,94,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,51,27,35,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,30,0,0,0,0,0,0,0
table-5,1935,6,1,D,Lovers_Point,8,30,0,8,0,16,0,0,0,0,0,0,0,67,0,0,27,13,0,27,8,19,0,0,0,0,0,0,0,0,0,0,175,0,43,312,0,0,22,0,0,0,0,16,0,24,11,11,0,13,65,0,0,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,54,0,0,0,0,0,0,105,5,0,0,0,0,0,0,0,22,3,0,0,0,0,11,5,0,16,256,0,62,0,43,35,0,0,0,0,3,0,0
table-5,1935,6,1,E,Pescadero_Point,11,22,0,3,0,0,0,0,0,0,0,0,0,32,54,81,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,54,22,0,0,0,0,0,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
table-5,1935,6,1,F,Point_Pinos,5,11,0,8,0,5,0,0,0,0,0,0,0,65,32,13,27,32,0,0,13,8,0,0,0,0,0,0,0,0,0,0,40,46,75,27,0,0,0,5,0,0,3,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,3,0,3,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,13,5,0,0,16,5,5,0,0,0,0,0,0,0,0
NA,2019,7,22,G,Otter_Point,0,0,3,0,0,0,0,3,0,3,3,3,1,0,5,5,2,0,0,0,0,2,5,1,1,9,1,1,1,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,2,1,3,20,3,1,3,7,1,88,38,43,1,1,3,30,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,1,0,0,0,0,0,0,14,0,7,0,6,2,2,0,0,3,0